Provider,Definition,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM
PacketHub s.a.,HD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT&T - Other,HD,92%,91%,90%,89%,91%,92%,92%,92%,92%,92%,92%,92%,91%,92%,92%,92%,93%,93%,92%,93%,93%,91%,91%,92%
CenturyLink,HD,98%,98%,97%,96%,96%,97%,89%,94%,90%,94%,96%,91%,95%,97%,97%,96%,98%,98%,98%,99%,99%,99%,97%,98%
RCN Corporation,HD,86%,88%,89%,89%,88%,89%,90%,90%,90%,90%,89%,88%,89%,90%,90%,91%,92%,93%,88%,90%,91%,89%,89%,88%
Xfinity by Comcast,HD,92%,91%,92%,92%,92%,92%,93%,93%,93%,94%,94%,94%,93%,93%,94%,94%,94%,95%,92%,93%,93%,93%,92%,92%
AccessMedia3,SD,94%,93%,84%,87%,86%,89%,91%,91%,92%,73%,94%,92%,90%,69%,84%,68%,86%,93%,80%,82%,75%,90%,86%,92%
AT&T U-verse,SD,87%,88%,89%,88%,88%,89%,90%,91%,91%,90%,89%,90%,87%,90%,90%,90%,90%,90%,89%,89%,88%,87%,88%,88%
Webpass,SD,81%,78%,84%,89%,89%,90%,88%,87%,85%,87%,90%,89%,88%,89%,90%,88%,91%,90%,83%,87%,84%,83%,80%,82%
Windstream Communications,LD,73%,75%,92%,89%,84%,86%,77%,71%,72%,70%,72%,62%,67%,70%,72%,58%,59%,66%,65%,64%,70%,71%,62%,70%
