Provider,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM
AccessMedia3(HD),87%,92%,90%,90%,87%,90%,90%,93%,92%,92%,94%,93%,88%,95%,89%,94%,96%,98%,96%,96%,95%,88%,90%,89%
Advanced Cable Communications(HD),88%,86%,88%,88%,89%,90%,90%,90%,89%,90%,90%,90%,89%,90%,91%,91%,92%,93%,92%,84%,85%,86%,87%,87%
AT&T - Other(HD),88%,88%,89%,88%,89%,89%,90%,90%,91%,91%,90%,89%,90%,90%,90%,91%,91%,92%,92%,88%,90%,88%,88%,87%
AT&T U-verse(HD),88%,89%,90%,89%,90%,90%,90%,90%,91%,91%,89%,88%,89%,90%,90%,91%,92%,92%,93%,89%,90%,90%,89%,88%
Charter Communications(HD),89%,90%,90%,90%,90%,91%,92%,91%,92%,92%,92%,91%,91%,91%,92%,92%,93%,93%,93%,90%,91%,90%,89%,88%
Cox Communications(HD),89%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,91%,91%,92%,92%,93%,92%,93%,93%,91%,92%,92%,91%,92%
Mediacom(HD),91%,92%,91%,91%,91%,93%,92%,93%,92%,92%,92%,92%,91%,89%,90%,91%,92%,92%,93%,91%,91%,92%,89%,91%
Myakka Technologies(HD),96%,95%,96%,95%,94%,95%,93%,93%,91%,90%,93%,89%,90%,92%,94%,90%,86%,93%,96%,95%,94%,97%,95%,97%
WOW!(HD),91%,92%,90%,91%,91%,92%,92%,91%,92%,92%,93%,93%,93%,92%,93%,93%,92%,94%,94%,92%,91%,90%,91%,93%
Xfinity by Comcast(HD),90%,90%,90%,91%,91%,92%,92%,92%,92%,92%,91%,91%,91%,91%,92%,92%,93%,93%,94%,91%,92%,91%,90%,89%
Zito Media(HD),85%,90%,91%,92%,93%,93%,93%,88%,89%,90%,92%,91%,86%,91%,90%,90%,91%,89%,88%,83%,90%,91%,91%,92%
PacketHub s.a.(SD),76%,78%,77%,70%,79%,81%,80%,85%,83%,79%,82%,77%,80%,81%,83%,84%,79%,82%,84%,80%,81%,79%,85%,83%
AKAMAI(SD),94%,88%,75%,79%,69%,79%,90%,79%,83%,80%,92%,92%,80%,70%,92%,83%,92%,85%,95%,97%,90%,85%,82%,84%
Atlantic Broadband(SD),77%,80%,82%,84%,86%,88%,86%,87%,87%,88%,86%,85%,87%,88%,90%,89%,92%,92%,92%,88%,90%,86%,87%,83%
CenturyLink(SD),84%,85%,85%,84%,85%,86%,85%,85%,86%,85%,85%,84%,85%,85%,85%,85%,86%,86%,86%,84%,86%,85%,85%,84%
FairPoint Communications(SD),86%,87%,86%,86%,85%,83%,84%,84%,84%,82%,84%,84%,85%,84%,85%,82%,82%,85%,86%,85%,89%,86%,88%,87%
Frontier Communications(SD),88%,88%,89%,89%,89%,90%,90%,90%,90%,90%,89%,89%,89%,89%,90%,90%,91%,91%,92%,88%,89%,88%,87%,87%
GigaMonster(SD),92%,95%,87%,86%,79%,88%,92%,86%,89%,90%,90%,88%,92%,92%,86%,80%,84%,85%,91%,94%,89%,93%,94%,92%
Hotwire Communications(SD),89%,89%,87%,86%,87%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,90%,92%,91%,92%,89%,90%,88%,88%,86%
Hughes Network(SD),25%,24%,24%,23%,23%,24%,23%,23%,23%,23%,23%,22%,23%,23%,23%,23%,26%,26%,27%,29%,29%,31%,29%,27%
Metronet(SD),87%,89%,88%,88%,90%,90%,87%,90%,88%,92%,89%,89%,88%,89%,89%,89%,92%,91%,90%,85%,87%,83%,81%,87%
Summit Broadband(SD),86%,89%,88%,87%,86%,89%,89%,87%,87%,89%,90%,90%,90%,89%,89%,89%,88%,89%,89%,86%,82%,84%,85%,83%
TDS Telecom(SD),85%,83%,76%,79%,79%,82%,80%,80%,79%,79%,79%,78%,76%,82%,82%,79%,81%,81%,82%,85%,86%,86%,88%,83%
Verizon - Unclassified(SD),86%,92%,82%,86%,90%,89%,86%,89%,90%,90%,90%,94%,89%,86%,91%,90%,93%,90%,96%,96%,85%,92%,90%,93%
Webpass(SD),78%,80%,79%,84%,86%,82%,85%,84%,78%,84%,82%,85%,85%,83%,80%,86%,89%,88%,89%,85%,58%,77%,74%,75%
Windstream Communications(SD),88%,87%,86%,88%,87%,87%,89%,88%,87%,89%,89%,88%,89%,89%,89%,89%,89%,90%,90%,86%,90%,87%,89%,87%
Florida High Speed Internet(LD),82%,83%,81%,85%,83%,81%,86%,81%,81%,77%,74%,78%,79%,80%,82%,75%,67%,78%,77%,73%,69%,77%,76%,79%
Internet(LD),63%,73%,78%,76%,79%,76%,74%,70%,68%,65%,69%,69%,70%,57%,69%,66%,67%,61%,55%,47%,46%,52%,52%,57%
